Name,Name_full_over,Name_full_pore,pore_TA,over_TA,sed_type,bucket_ID,over_pH
D53_C1,D53_C1_over.1,D53_C1_pore.1,1887.438234,1915.447843,sand,C1,high
D53_C1,D53_C1_over.2,D53_C1_pore.2,1856.093981,1912.462967,sand,C1,high
D53_C2,D53_C2_over,D53_C2_pore,1833.909808,1940.815793,sand,C2,high
D53_C2,D53_C2_over.1,D53_C2_pore.1,1887.231009,1905.473974,sand,C2,high
D53_OA1,D53_OA1_over,D53_OA1_pore,2074.406991,2187.624393,sand,OA1,low
D53_OA1,D53_OA1_over.1,D53_OA1_pore.1,2107.226088,2150.935872,sand,OA1,low
D53_OA1,D53_OA1_over.2,D53_OA1_pore.2,2112.662694,2196.401604,sand,OA1,low
D53_OA2,D53_OA2_over,D53_OA2_pore,2268.207202,2201.855036,sand,OA2,low
D53_OA2,D53_OA2_over.1,D53_OA2_pore.1,2279.075265,2197.119986,sand,OA2,low
D53_OA2,D53_OA2_over.2,D53_OA2_pore.2,2266.259877,2194.989303,sand,OA2,low
D53_OASH1,D53_OASH1_over,D53_OASH1_pore,2552.395889,2179.400239,shells,OASH1,low
D53_OASH1,D53_OASH1_over.1,D53_OASH1_pore.1,2641.141222,2180.07121,shells,OASH1,low
D53_OASH1,D53_OASH1_over.2,D53_OASH1_pore.2,2633.331058,2174.907738,shells,OASH1,low
D53_OASH2,D53_OASH2_over,D53_OASH2_pore,2409.61652,2169.988807,shells,OASH2,low
D53_OASH2,D53_OASH2_over.1,D53_OASH2_pore.1,2412.030247,2173.203353,shells,OASH2,low
D53_SH1,D53_SH1_over,D53_SH1_pore,2110.382422,1917.567743,shells,SH1,high
D53_SH1,D53_SH1_over.1,D53_SH1_pore.1,2108.024254,1915.044446,shells,SH1,high
D53_SH1,D53_SH1_over.2,D53_SH1_pore.2,2099.742591,1916.407487,shells,SH1,high
D53_SH2,D53_SH2_over,D53_SH2_pore,1940.95859,1921.822346,shells,SH2,high
D53_SH2,D53_SH2_over.1,D53_SH2_pore.1,1936.340422,1916.720444,shells,SH2,high
D53_SH2,D53_SH2_over.2,D53_SH2_pore.2,1935.423092,1914.747717,shells,SH2,high
D60_C1,D60_C1_over,D60_C1_pore,1843.31611,1828.892587,sand,C1,high
D60_C1,D60_C1_over.1,D60_C1_pore.1,1835.879301,1825.997652,sand,C1,high
D60_C1,D60_C1_over.2,D60_C1_pore.2,1763.250209,1690.058498,sand,C1,high
D60_C2,D60_C2_over,D60_C2_pore,1901.1125,1780.916468,sand,C2,high
D60_C2,D60_C2_over.1,D60_C2_pore.1,1902.04338,1819.062086,sand,C2,high
D60_C2,D60_C2_over.2,D60_C2_pore.2,1902.544623,1789.488747,sand,C2,high
D60_OA1,D60_OA1_over,D60_OA1_pore,2181.430104,2091.901963,sand,OA1,low
D60_OA1,D60_OA1_over.1,D60_OA1_pore.1,2178.207828,2095.686859,sand,OA1,low
D60_OA1,D60_OA1_over.2,D60_OA1_pore.2,2058.738087,2097.927108,sand,OA1,low
D60_OA2,D60_OA2_over,D60_OA2_pore,2294.240473,2099.594509,sand,OA2,low
D60_OA2,D60_OA2_over.1,D60_OA2_pore.1,2284.604332,2102.315542,sand,OA2,low
D60_OA2,D60_OA2_over.2,D60_OA2_pore.2,2292.521926,2099.788868,sand,OA2,low
